elem_type_id,elem_type_name,n_elements,metric,count,excluded_na,min,max,mean,std
2,3-node triangle,647268,minDetJac,647268,0,0.09921874986767898,1554573.014203745,747128.1497424833,296042.86936603655
2,3-node triangle,647268,maxDetJac,647268,0,0.09921874986767898,1554573.014203745,747128.1497424833,296042.86936603655
2,3-node triangle,647268,minSICN,647268,0,0.00022640286410258764,1.0,0.9361049794776642,0.19539698487706353
2,3-node triangle,647268,minSIGE,647268,0,0.006274685216185831,1.0000000000000007,0.9659273158891479,0.13122510507318416
2,3-node triangle,647268,gamma,647268,0,2.0972772308928803e-06,1.0000000000000007,0.9319575519754705,0.20627798933505373
2,3-node triangle,647268,innerRadius,647268,0,0.020050768235022467,384.2890337749924,249.51695593510138,97.82913707938428
2,3-node triangle,647268,outerRadius,647268,0,0.5396475012105473,37518.09465735181,501.98082384275233,213.2839998997963
2,3-node triangle,647268,minIsotropy,647268,0,2.5629128543258688e-08,1.0000000000000002,0.9361049736996745,0.19539701255058528
2,3-node triangle,647268,angleShape,647268,0,0.00010544002119105871,1.0,0.8920630327443236,0.3094451323638565
2,3-node triangle,647268,minEdge,647268,0,0.4999999999542083,1304.1872516059302,861.7474421914001,338.6205126443165
2,3-node triangle,647268,maxEdge,647268,0,1.066189379062238,1693.4795472140943,870.9982499173125,335.248830435346
2,3-node triangle,647268,volume,647268,0,0.04960937493383949,777286.5071018727,373564.07487124164,148021.4346830183
4,4-node tetrahedron,30544000,minDetJac,30544000,0,0.21299335205218917,8553601950.358866,1571327849.750245,506067867.8078221
4,4-node tetrahedron,30544000,maxDetJac,30544000,0,0.21299335205218917,8553601950.358866,1571327849.750245,506067867.8078221
4,4-node tetrahedron,30544000,minSICN,30544000,0,8.229634785965662e-05,1.0,0.8038582718261104,0.12829529440391796
4,4-node tetrahedron,30544000,minSIGE,30544000,0,0.0003995267878903719,1.0000000000000002,0.8257844302457122,0.12784255720532206
4,4-node tetrahedron,30544000,gamma,30544000,0,1.9956933680290743e-06,1.0000000000000002,0.7769914106574162,0.13182885281077783
4,4-node tetrahedron,30544000,innerRadius,30544000,0,0.0070282701832544104,447.70229046302285,237.29414742913355,41.061844767579665
4,4-node tetrahedron,30544000,outerRadius,30544000,0,2.5575807759615037,48585.061943670036,919.4046269230959,103.2358439769731
4,4-node tetrahedron,30544000,minIsotropy,30544000,0,2.027707849353028e-08,0.9999999999999996,0.8148921086581188,0.11076682043473716
4,4-node tetrahedron,30544000,angleShape,30544000,0,1.0,1.0,1.0,0.0
4,4-node tetrahedron,30544000,minEdge,30544000,0,0.4999999999542083,2118.3071210267085,1096.597530576057,111.84428230849133
4,4-node tetrahedron,30544000,maxEdge,30544000,0,5.109816892443525,3906.850950610111,1749.1019316718546,201.8308285068531
4,4-node tetrahedron,30544000,volume,30544000,0,0.03549889200869819,1425600325.0598109,261887974.95837417,84344644.63463701
