elem_type_id,elem_type_name,element_tag,metric,quality_value,x,y,z
2,3-node triangle,90101,minSICN,0.00022640286410258764,10501.565010269944,2946.653158587586,4305.248851577893
2,3-node triangle,90102,minSICN,0.00023390460183489496,10501.565010269944,2943.319825254253,4305.248851577893
2,3-node triangle,90094,minSICN,0.00024066914671737105,10501.565010269944,-2940.448669893098,4305.248851577893
2,3-node triangle,90093,minSICN,0.00024889723498146987,10501.565010269944,-2937.115336559765,4305.248851577893
2,3-node triangle,90099,minSICN,0.00026983230986673797,10501.565010269944,2929.332650511899,4305.248851577893
2,3-node triangle,90100,minSICN,0.00027961489614716756,10501.565010269944,2925.999317178566,4305.248851577893
2,3-node triangle,90096,minSICN,0.00028847389725427086,10501.565010269944,-2923.128161817411,4305.248851577893
2,3-node triangle,90095,minSICN,0.0002992973653887148,10501.565010269944,-2919.794828484078,4305.248851577893
2,3-node triangle,90195,minSICN,0.0008003338121822525,10501.56501026996,2936.3262378830764,4305.248851577893
2,3-node triangle,90126,minSICN,0.0008534411083041116,10501.56501026996,-2930.1217491885877,4305.248851577893
2,3-node triangle,91200,minSICN,0.0014836737644498119,10512.366444000087,2937.9929045497393,4309.657896750053
2,3-node triangle,91203,minSICN,0.0015346337146710666,10512.366444000087,2934.6595712164058,4309.657896750054
2,3-node triangle,91186,minSICN,0.0015807306161869782,10512.366444000087,-2931.7884158552583,4309.657896750054
2,3-node triangle,91182,minSICN,0.001636840390785562,10512.366444000087,-2928.455082521925,4309.657896750053
2,3-node triangle,91197,minSICN,0.004411321372520487,12668.463197190327,3092.2075461474838,4856.255184040717
2,3-node triangle,91195,minSICN,0.0044134060907929295,12670.118309011808,3092.2075461474838,4856.451254617957
2,3-node triangle,91174,minSICN,0.00445266397952554,12668.452592037647,-3086.0621689097406,4856.253979764704
2,3-node triangle,91176,minSICN,0.004454812818248237,12670.107703466749,-3086.0621689097406,4856.450053654234
2,3-node triangle,83343,minSICN,0.004537560244348595,12747.704803684393,-3764.6166208169234,4864.677483276727
2,3-node triangle,83345,minSICN,0.00453822341182372,12746.047378078729,-3764.6166208169234,4864.502019366083
4,4-node tetrahedron,1396135,minSICN,8.229634785965662e-05,10571.711666424955,-2892.6004168711984,4511.640243878943
4,4-node tetrahedron,4257688,minSICN,8.387841509256618e-05,10571.711666424955,-2890.1004168711984,4511.640243878943
4,4-node tetrahedron,823581,minSICN,9.112272471703053e-05,10571.711666424955,-2879.610035814433,4511.640243878943
4,4-node tetrahedron,4257657,minSICN,9.300981454397717e-05,10571.711666424955,-2877.110035814433,4511.640243878943
4,4-node tetrahedron,662620,minSICN,0.0001154235426155317,10442.959852779237,3074.1506524230467,4450.1019902768985
4,4-node tetrahedron,1297009,minSICN,0.00011726544505040978,10442.959852779237,3071.6506524230467,4450.1019902768985
4,4-node tetrahedron,892272,minSICN,0.00012564206598090463,10442.959852779237,3061.1602713662814,4450.1019902768985
4,4-node tetrahedron,1134133,minSICN,0.00012781002126433953,10442.959852779237,3058.6602713662814,4450.1019902768985
4,4-node tetrahedron,943538,minSICN,0.000269884113913268,4557.086214981382,1084.5176079165833,2122.424362526195
4,4-node tetrahedron,1426519,minSICN,0.0002789302218600593,10571.711666424966,-2884.8552263428155,4511.640243878943
4,4-node tetrahedron,1297000,minSICN,0.0003873166592630461,10442.95985277925,3066.4054618946643,4450.1019902768985
4,4-node tetrahedron,1257956,minSICN,0.0004521064633686018,20190.95640887921,-2658.2832927401478,6052.006282186723
4,4-node tetrahedron,4256529,minSICN,0.0004803438288754909,10579.812741722562,-2886.1052263428182,4514.947027758062
4,4-node tetrahedron,1523798,minSICN,0.0005474662897074964,20189.713339674963,-2658.2832927401478,6051.874684253735
4,4-node tetrahedron,1271668,minSICN,0.0005774977542320922,10579.812741722562,-2883.6052263428182,4514.947027758062
4,4-node tetrahedron,1528015,minSICN,0.0007238885795479876,10451.060928076844,3067.6554618946616,4453.408774156019
4,4-node tetrahedron,4256158,minSICN,0.000727441437838618,10451.060928076844,3065.155461894661,4453.408774156018
4,4-node tetrahedron,823208,minSICN,0.0007535497244374283,6261.75878950162,1766.3362529812157,2640.6430019862564
4,4-node tetrahedron,938825,minSICN,0.0007609126815386816,19747.125303433593,-2500.6673846922854,5622.953385510199
4,4-node tetrahedron,1521861,minSICN,0.0008440771913404883,21016.35719159924,-2490.2856951843924,5744.642503211708
