elem_type_id,elem_type_name,element_tag,metric,quality_value,x,y,z
2,3-node triangle,51,minSICN,0.016586997498438772,48179.56571229359,-3553.2056197291986,-15.974259224129852
2,3-node triangle,53,minSICN,0.016586997498438852,48064.61753096973,-4867.069344368151,-15.97425922412993
2,3-node triangle,90,minSICN,0.01658699850741988,48093.35883989577,-4538.55468009372,-19.1316524882302
2,3-node triangle,89,minSICN,0.01658699850743058,48150.82440336756,-3881.720284003622,-19.1316524882302
2,3-node triangle,55,minSICN,0.016591916741144994,47978.40213138177,-5852.515870962052,-15.974259224130009
2,3-node triangle,50,minSICN,0.01659191674115547,48265.781111881544,-2567.7590931352934,-15.974259224129776
2,3-node triangle,49,minSICN,0.016591920672720358,48237.03127576537,-2896.3712236390966,-19.131652488230156
2,3-node triangle,52,minSICN,0.016591920672720625,48007.15196749796,-5523.903740458246,-19.131652488230234
2,3-node triangle,48,minSICN,0.016596835978394335,48351.996511469515,-1582.3125665413907,-15.974259224129701
2,3-node triangle,57,minSICN,0.016596835978405295,47892.18673179381,-6837.962397555949,-15.974259224130085
2,3-node triangle,47,minSICN,0.016596842835154304,48323.23814816318,-1911.0221632745695,-19.13165248823012
2,3-node triangle,54,minSICN,0.0165968428351545,47920.94509510015,-6509.252800822766,-19.131652488230277
2,3-node triangle,46,minSICN,0.016601755207550663,48438.21191105748,-596.8660399474878,-15.974259224129625
2,3-node triangle,59,minSICN,0.016601755207572358,47805.971332205845,-7823.4089241498505,-15.97425922413016
2,3-node triangle,45,minSICN,0.01660176499211646,48409.44502056101,-925.6731029100453,-19.13165248823008
2,3-node triangle,56,minSICN,0.01660176499211663,47834.738222702326,-7494.601861187287,-19.131652488230312
2,3-node triangle,44,minSICN,0.016606674426040014,48524.42731064544,388.5804866464144,-15.974259224129545
2,3-node triangle,61,minSICN,0.01660667442604022,47719.75593261788,-8808.85545074375,-15.974259224130236
2,3-node triangle,43,minSICN,0.016606687140979036,48495.65189295882,59.675957454480034,-19.131652488230042
2,3-node triangle,58,minSICN,0.01660668714097924,47748.53135030451,-8479.95092155181,-19.13165248823035
4,4-node tetrahedron,4127191,minSICN,0.0016909885803929403,8.74802712533657,415.79310604290475,55.63807655660301
4,4-node tetrahedron,8261690,minSICN,0.0020613537954010303,57.958602793879024,-325.35154818772736,-129.21198285273013
4,4-node tetrahedron,3855210,minSICN,0.003306441150346417,9.28371933054951,415.9169622831938,58.45608672250695
4,4-node tetrahedron,8350791,minSICN,0.003921027282279081,58.46464922038206,-325.56654474864865,-126.3939726868262
4,4-node tetrahedron,3854990,minSICN,0.004825473596413228,10.386886605093856,416.1720232112891,54.35017989513058
4,4-node tetrahedron,4127644,minSICN,0.005850447534666352,59.506766039864885,-326.0092937150138,-130.49987951420255
4,4-node tetrahedron,4190181,minSICN,0.0061961419763961086,11.43616135951708,416.41462376595183,59.77480427609723
4,4-node tetrahedron,1087578,minSICN,0.006281294811415361,-49.23059587929922,402.2353691137266,-1.9865288072086926
4,4-node tetrahedron,1157719,minSICN,0.0067433025490936105,-97.45767464240222,-565.6809725756674,29.116970681984697
4,4-node tetrahedron,1260522,minSICN,0.006868006242369325,2.9194035238087572,-305.3115180908435,-186.83658821654183
4,4-node tetrahedron,890964,minSICN,0.007295674404411459,-40.56038629770645,404.23998958579006,-12.148221771479449
4,4-node tetrahedron,3526898,minSICN,0.0073251598796620215,13.183323913586705,416.8185814547424,53.31157530132969
4,4-node tetrahedron,676005,minSICN,0.007389668730601435,60.49797280884269,-326.4304132711082,-125.07525513323593
4,4-node tetrahedron,1154254,minSICN,0.0074647534944679165,-48.97981358499616,407.19539857709566,155.6352395290608
4,4-node tetrahedron,6610628,minSICN,0.007917114933287998,11.10979444811441,-308.79124996741245,-196.9982811808126
4,4-node tetrahedron,3854989,minSICN,0.00818371744841967,-48.91429148685653,402.3085011706311,-4.829972280280579
4,4-node tetrahedron,1347521,minSICN,0.00830757064038057,14.63891062452577,417.1551245212222,60.88823527321833
4,4-node tetrahedron,1174601,minSICN,0.00845543666750575,-96.16766810384551,-566.2290388297306,31.698151589879444
4,4-node tetrahedron,1159709,minSICN,0.00863665232001697,-152.51203726637291,-288.0382359087048,249.71073732979528
4,4-node tetrahedron,1896158,minSICN,0.008855447406402005,-43.37082967256172,403.59019302991766,-11.328570861869927
