elem_type_id,elem_type_name,n_elements,metric,count,excluded_na,min,max,mean,std
2,3-node triangle,647156,minDetJac,647156,0,0.09921874986987922,1545471.726394761,747257.4514001514,295947.8713563271
2,3-node triangle,647156,maxDetJac,647156,0,0.09921874986987922,1545471.726394761,747257.4514001514,295947.8713563271
2,3-node triangle,647156,minSICN,647156,0,0.00022640286359849456,1.0,0.9360767922013374,0.1954586861614146
2,3-node triangle,647156,minSIGE,647156,0,0.006274685214877901,1.0000000000000007,0.9658985305446566,0.131263084753639
2,3-node triangle,647156,gamma,647156,0,2.097277230018558e-06,1.0000000000000007,0.9319183959904378,0.20639099123686763
2,3-node triangle,647156,innerRadius,647156,0,0.020050768235022578,382.5889106034277,249.55018306200563,97.80646038854073
2,3-node triangle,647156,outerRadius,647156,0,0.5396475012092986,37518.09465735181,502.0561512398538,213.24570385793814
2,3-node triangle,647156,minIsotropy,647156,0,2.5629128532866024e-08,1.0000000000000004,0.9360767864223475,0.1954587138301549
2,3-node triangle,647156,angleShape,647156,0,0.00010544002119091683,1.0,0.8922209804464603,0.30925292482826827
2,3-node triangle,647156,minEdge,647156,0,0.49999999994910455,1248.5695428275578,861.8745245350116,338.5392004406518
2,3-node triangle,647156,maxEdge,647156,0,1.066189379060054,1706.1390447740682,871.1365592151626,335.1692080937255
2,3-node triangle,647156,volume,647156,0,0.04960937493493961,772735.8631973804,373628.7257000757,147973.93567816354
4,4-node tetrahedron,30539158,minDetJac,30539158,0,0.48437499841105525,9982991634.875645,1571576984.6266704,507021053.5372674
4,4-node tetrahedron,30539158,maxDetJac,30539158,0,0.48437499841105525,9982991634.875645,1571576984.6266704,507021053.5372674
4,4-node tetrahedron,30539158,minSICN,30539158,0,7.918113091323064e-05,1.0000000000000002,0.8035501226896323,0.12848136340095664
4,4-node tetrahedron,30539158,minSIGE,30539158,0,0.0013596965659665994,1.0000000000000002,0.8254888874419448,0.12805294064229794
4,4-node tetrahedron,30539158,gamma,30539158,0,1.442251998903317e-06,1.0000000000000004,0.7765643912048934,0.13222208171269206
4,4-node tetrahedron,30539158,innerRadius,30539158,0,0.007329113475275068,457.6999557769623,237.25798597877073,41.088315879189565
4,4-node tetrahedron,30539158,outerRadius,30539158,0,2.557580775962446,57129.523061466396,919.9929363683832,105.26657823832376
4,4-node tetrahedron,30539158,minIsotropy,30539158,0,7.249454378855276e-08,1.0000000000000002,0.8145897060575806,0.1109793530998666
4,4-node tetrahedron,30539158,angleShape,30539158,0,1.0,1.0,1.0,0.0
4,4-node tetrahedron,30539158,minEdge,30539158,0,0.49999999994910455,2185.5094243877174,1096.5283398493768,112.15615166325757
4,4-node tetrahedron,30539158,maxEdge,30539158,0,5.109816892448013,4192.795461610693,1749.8805923086245,203.32518355078372
4,4-node tetrahedron,30539158,volume,30539158,0,0.08072916640184254,1663831939.1459408,261929497.43777835,84503508.9228779
