elem_type_id,elem_type_name,element_tag,metric,quality_value,x,y,z
2,3-node triangle,90044,minSICN,0.00022640286359849456,10836.830546269477,2946.653158587586,3373.594381424579
2,3-node triangle,90045,minSICN,0.000233904601834895,10836.830546269477,2943.319825254253,3373.594381424579
2,3-node triangle,90036,minSICN,0.00024066914671737105,10836.830546269477,-2940.448669893098,3373.594381424579
2,3-node triangle,90035,minSICN,0.000248897235485563,10836.830546269477,-2937.115336559765,3373.594381424579
2,3-node triangle,90042,minSICN,0.000269832309866738,10836.830546269477,2929.332650511899,3373.594381424579
2,3-node triangle,90043,minSICN,0.0002796148956430745,10836.830546269477,2925.999317178566,3373.594381424579
2,3-node triangle,90038,minSICN,0.0002884738972542709,10836.830546269477,-2923.128161817411,3373.594381424579
2,3-node triangle,90037,minSICN,0.00029929736538871485,10836.830546269477,-2919.794828484078,3373.594381424579
2,3-node triangle,90130,minSICN,0.0008003338121822525,10836.83054626949,2936.3262378830764,3373.594381424577
2,3-node triangle,90070,minSICN,0.0008534411083041115,10836.83054626949,-2930.1217491885877,3373.594381424577
2,3-node triangle,91136,minSICN,0.0014836737643662036,10847.975150890024,2937.9929045497393,3377.0452418692407
2,3-node triangle,91139,minSICN,0.0015346337147546878,10847.975150890023,2934.6595712164058,3377.0452418692407
2,3-node triangle,91122,minSICN,0.0015807306161869773,10847.975150890023,-2931.7884158552583,3377.0452418692407
2,3-node triangle,91118,minSICN,0.001636840390869208,10847.975150890023,-2928.455082521925,3377.0452418692407
2,3-node triangle,91133,minSICN,0.0044113213725620075,13043.506397548641,3092.2075461474838,3733.646347499421
2,3-node triangle,91131,minSICN,0.004413406090792928,13045.17229984674,3092.2075461474838,3733.6974194687878
2,3-node triangle,91110,minSICN,0.00445266397952554,13043.4957277922,-3086.0621689097406,3733.6460721060007
2,3-node triangle,91112,minSICN,0.004454812818206318,13045.161629988099,-3086.0621689097406,3733.697147409251
2,3-node triangle,83291,minSICN,0.004537560244390869,13123.18051755186,-3764.6166208169234,3735.1302362735682
2,3-node triangle,83293,minSICN,0.004538223411908267,13121.51410626356,-3764.6166208169234,3735.099894215788
4,4-node tetrahedron,4130077,minSICN,7.918113091323064e-05,10655.2068180754,-2943.7742968785988,3452.1934601886032
4,4-node tetrahedron,1474349,minSICN,8.067096943412557e-05,10655.2068180754,-2941.2742968785983,3452.1934601886032
4,4-node tetrahedron,5143920,minSICN,8.747993301548056e-05,10655.2068180754,-2930.783915821833,3452.1934601886032
4,4-node tetrahedron,8918454,minSICN,8.925044276764656e-05,10655.2068180754,-2928.283915821833,3452.1934601886032
4,4-node tetrahedron,13354176,minSICN,0.00022107099900546168,10792.694945881523,2969.076064326274,3414.171875670192
4,4-node tetrahedron,1477652,minSICN,0.00022631903661681518,10792.694945881523,2966.576064326274,3414.171875670192
4,4-node tetrahedron,13353914,minSICN,0.00025014114087553785,10792.694945881522,2956.0856832695085,3414.171875670192
4,4-node tetrahedron,1002977,minSICN,0.00025628269061543516,10792.694945881522,2953.5856832695085,3414.171875670192
4,4-node tetrahedron,8918422,minSICN,0.00026802345284164015,10655.20681807541,-2936.0291063502154,3452.193460188602
4,4-node tetrahedron,1049169,minSICN,0.00032554939657554867,10937.878381641423,-2703.63877317806,3598.1972382463464
4,4-node tetrahedron,723329,minSICN,0.00039270777277564963,10937.878381641423,-2701.13877317806,3598.197238246347
4,4-node tetrahedron,1468031,minSICN,0.0005032489367781629,5549.885136529411,1560.2662995104888,1794.6958321915126
4,4-node tetrahedron,1399335,minSICN,0.0007303308198460475,6401.3578103662885,1708.3654921548468,2093.886364823161
4,4-node tetrahedron,1482929,minSICN,0.0007590453686931833,10792.694945881532,2961.330873797891,3414.1718756701907
4,4-node tetrahedron,1254471,minSICN,0.0008160571422836233,29631.97401538227,7763.913502874979,3981.628336522263
4,4-node tetrahedron,678366,minSICN,0.0009643598341518948,9939.027865625214,2740.8830256808887,3137.3714801831047
4,4-node tetrahedron,1399139,minSICN,0.0010549595365794882,13085.026759456377,-3359.2367384946124,3933.074554198023
4,4-node tetrahedron,1480421,minSICN,0.0011220045322959027,21293.1912755664,2014.8220825936914,3884.2396872837344
4,4-node tetrahedron,4075725,minSICN,0.0011514934609771104,13132.936900599527,-3543.2709673770787,3892.095427466198
4,4-node tetrahedron,4130919,minSICN,0.0011852964028799505,28372.02990758178,-7076.87800193096,4047.2071684831753
