elem_type_id,elem_type_name,n_elements,metric,count,excluded_na,min,max,mean,std
2,3-node triangle,559906,minDetJac,559906,0,3621.4755344643886,1187374.4579299714,863700.6035606582,29480.126557221665
2,3-node triangle,559906,maxDetJac,559906,0,3621.4755344643886,1187374.4579299714,863700.6035606582,29480.126557221665
2,3-node triangle,559906,minSICN,559906,0,0.07519818106234444,1.0,0.9988969551653692,0.010031218999027104
2,3-node triangle,559906,minSIGE,559906,0,0.5573495058610282,1.0000000000000007,0.999553944014315,0.004135549144199536
2,3-node triangle,559906,gamma,559906,0,0.08500317062584672,1.0000000000000007,0.9987317471967126,0.011152683429377993
2,3-node triangle,559906,innerRadius,559906,0,6.139525261158186,336.4533221238294,288.1218770786247,6.076263772702398
2,3-node triangle,559906,outerRadius,559906,0,144.29469559896341,706.8933726813729,576.9357306352151,10.004924511658139
2,3-node triangle,559906,minIsotropy,559906,0,0.07519818106234476,1.0000000000000002,0.9988969551653692,0.010031218999027106
2,3-node triangle,559906,angleShape,559906,0,0.00027476011694088393,1.0,0.9988051685611018,0.031629434131979814
2,3-node triangle,559906,minEdge,559906,0,12.555014836497861,1125.5982110410991,995.327885548577,28.011323004977587
2,3-node triangle,559906,maxEdge,559906,0,288.50768910493144,1359.8771224278305,1002.5063540641812,21.79386599693929
2,3-node triangle,559906,volume,559906,0,1810.7377672321943,593687.2289649857,431850.3017803291,14740.063278610834
4,4-node tetrahedron,30469121,minDetJac,30469121,0,2697620.7510708044,8306750649.59786,1575189477.665176,498376471.070864
4,4-node tetrahedron,30469121,maxDetJac,30469121,0,2697620.7510708044,8306750649.59786,1575189477.665176,498376471.070864
4,4-node tetrahedron,30469121,minSICN,30469121,0,0.018577684075134795,1.0000000000000002,0.8061257698000045,0.12293000308578388
4,4-node tetrahedron,30469121,minSIGE,30469121,0,0.12197285854161366,1.0000000000000002,0.8272956823208265,0.1251299553609954
4,4-node tetrahedron,30469121,gamma,30469121,0,0.013549688528922818,1.0000000000000004,0.7793271230484579,0.12661913228252264
4,4-node tetrahedron,30469121,innerRadius,30469121,0,5.892378164888196,458.22203431740866,238.00357824739015,39.00360036954795
4,4-node tetrahedron,30469121,outerRadius,30469121,0,514.797431278525,2439.1892750612456,920.9149501147373,89.86485397592956
4,4-node tetrahedron,30469121,minIsotropy,30469121,0,0.02547048489163948,1.0000000000000002,0.8172178547335146,0.10415223538767247
4,4-node tetrahedron,30469121,angleShape,30469121,0,1.0,1.0,1.0,0.0
4,4-node tetrahedron,30469121,minEdge,30469121,0,12.555014836497861,2169.68178531188,1099.9442958553504,94.2137890402126
4,4-node tetrahedron,30469121,maxEdge,30469121,0,949.5807063858819,2835.350330036263,1752.6853312592546,180.703907169188
4,4-node tetrahedron,30469121,volume,30469121,0,449603.45851180074,1384458441.5996432,262531579.6108626,83062745.17847733
