elem_type_id,elem_type_name,element_tag,metric,quality_value,x,y,z
2,3-node triangle,5,minSICN,0.07519818106234444,48041.99163407896,17773.844306948584,4184.9562650537
2,3-node triangle,1912,minSICN,0.07519818121799995,48041.99163425834,-17773.84430654632,4184.956265069392
2,3-node triangle,3,minSICN,0.07528119355076084,48095.93124970585,17591.41995585561,4191.260096932714
2,3-node triangle,1902,minSICN,0.07528119362074975,48095.931249774985,-17591.419955622867,4191.2600969387595
2,3-node triangle,6,minSICN,0.1286931340812306,47897.78335574182,18020.510087874663,4175.351463382959
2,3-node triangle,1910,minSICN,0.12869313429479828,47897.783355975254,-18020.51008760054,4175.351463403382
2,3-node triangle,7,minSICN,0.12881084159640152,48001.09252084426,17861.106751644296,4188.590654318363
2,3-node triangle,1913,minSICN,0.12881084175148966,48001.09252095463,-17861.106751474894,4188.590654328015
2,3-node triangle,8,minSICN,0.2114986938964089,47689.27196488596,18215.743310695387,4161.853772944334
2,3-node triangle,1908,minSICN,0.21149869415811254,47689.27196511987,-18215.743310541944,4161.853772964799
2,3-node triangle,9,minSICN,0.21198798467923508,47833.28141176262,18092.677571021977,4181.665565007644
2,3-node triangle,1911,minSICN,0.21198798488811849,47833.28141188577,-18092.67757091739,4181.665565018416
2,3-node triangle,1988,minSICN,0.2696878940438981,46573.54623689022,-18248.42701733618,4157.571312122663
2,3-node triangle,2074,minSICN,0.2696878940439039,46573.54623689022,18248.42701733618,4157.571312122666
2,3-node triangle,1989,minSICN,0.27376227244766677,46581.02471264157,-18248.439893973464,4072.394860860122
2,3-node triangle,2075,minSICN,0.2737622724476836,46581.02471264157,18248.439893973464,4072.3948608601236
2,3-node triangle,10,minSICN,0.3130129640430429,47433.86911275659,18343.237083145286,4145.585648340017
2,3-node triangle,1906,minSICN,0.31301296429915726,47433.86911294746,-18343.237083086482,4145.585648356716
2,3-node triangle,11,minSICN,0.31520272957796647,47606.35513309468,18266.75180927567,4172.633510234548
2,3-node triangle,1909,minSICN,0.31520272982848596,47606.355133205514,-18266.75180922695,4172.633510244245
4,4-node tetrahedron,7777184,minSICN,0.018577684075134795,48438.23947779641,17865.914567598786,4201.259622609742
4,4-node tetrahedron,7777183,minSICN,0.01859561642090298,48478.69418951658,17729.096304279054,4205.987496519004
4,4-node tetrahedron,6883655,minSICN,0.02174643321418206,48324.0625650239,-17597.465164804722,4252.139360804105
4,4-node tetrahedron,17374721,minSICN,0.024158435886597992,48364.517276661376,-17460.64690161213,4256.867234706131
4,4-node tetrahedron,24018136,minSICN,0.02983573766671078,48330.08326904355,18050.91390329334,4194.056021356688
4,4-node tetrahedron,4021961,minSICN,0.031434823253096385,48407.56514287038,17931.36140112057,4203.985414558239
4,4-node tetrahedron,7970306,minSICN,0.03548322611677157,48218.24693812882,-18049.48141277636,4345.901858230828
4,4-node tetrahedron,9683979,minSICN,0.03566950847842768,48140.76506439428,-18169.033914870597,4335.972465037353
4,4-node tetrahedron,4021661,minSICN,0.04283509746680645,48173.69972590165,18197.338820408884,4183.932753527719
4,4-node tetrahedron,9683969,minSICN,0.04584386766262896,48190.0565446974,-18544.45049000279,4351.928996539826
4,4-node tetrahedron,4019895,minSICN,0.04758342288476135,48281.70681105915,18105.03951565383,4198.791597575201
4,4-node tetrahedron,3759041,minSICN,0.057880600726120425,48152.70516223835,18522.217349174283,4174.647443685944
4,4-node tetrahedron,4106550,minSICN,0.05846643722225565,48092.388606327186,-18223.15952735823,4340.708041248628
4,4-node tetrahedron,7777203,minSICN,0.060384002611177504,48111.5121020582,18235.595194344096,4192.01755649538
4,4-node tetrahedron,30062294,minSICN,0.06219231026169143,48520.83593866488,-17829.461157410376,4410.520806489827
4,4-node tetrahedron,1084564,minSICN,0.06967866383154281,47854.6017510042,-18470.200635811983,4181.414498757859
4,4-node tetrahedron,1999748,minSICN,0.08161277928369334,224.42291691775148,55.52748944912603,801.4933342150659
4,4-node tetrahedron,12990540,minSICN,0.08308801588199308,-252.38867236710146,12.895497791420535,-524.2482313203245
4,4-node tetrahedron,15972354,minSICN,0.08354327694528939,-252.38867236710146,49.27360751167613,-524.2482313203245
4,4-node tetrahedron,3921142,minSICN,0.08429434191725758,-288.45259542604236,36.11238389179971,659.156998746532
